Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",15.90,15.90,15.90,15.90,-
KUKZ,"Kakuzi Plc
",320.00,320.00,320.00,320.00,100
KAPC,"Kapchorua Tea Kenya Plc
",75.75,80.00,79.00,79.50,"1,400"
LIMT,"Limuru Tea Plc
",580.00,580.00,580.00,550.00,200
SASN,"Sasini Plc
",18.50,20.00,19.25,18.20,200
WTK,"Williamson Tea Kenya Plc
",150.00,150.00,150.00,146.00,"1,100"
CGEN,"Car and General (K) Ltd
",25.00,25.00,25.00,25.00,-
ABSA,"ABSA Bank Kenya Plc
",11.55,11.70,11.60,11.55,"857,300"
BKG,"BK Group Plc
",31.00,31.00,31.00,31.00,-
COOP,"Co-operative Bank of Kenya Ltd
",14.55,14.80,14.60,14.55,"728,500"
DTK,"Diamond Trust Bank Kenya Ltd
",150.00,150.00,150.00,151.75,"4,600"
EQTY,"Equity Group Holdings Plc
",41.25,41.50,41.30,41.20,"1,318,600"
HFCK,"HF Group Ltd
",6.00,6.20,6.16,6.20,"4,100"
IMH,"I & M Holdings Plc
",95.00,95.00,95.00,95.00,200
KCB,"KCB Group Plc
",42.00,42.30,42.15,42.15,"462,500"
NBK,"National Bank of Kenya Ltd
",6.28,6.30,6.28,6.24,"6,200"
NCBA,"NCBA Group Plc
",37.90,38.90,37.95,39.15,"62,500"
SBIC,"Stanbic Holdings Plc
",91.00,93.00,92.00,91.50,"1,200"
SCBK,"Standard Chartered Bank Kenya Ltd
",190.00,200.00,195.00,200.50,700
DCON,"Deacons (East Africa) Plc
",0.45,0.45,0.45,0.45,-
EVRD,"Eveready East Africa Ltd
",1.00,1.00,1.00,1.10,"4,300"
XPRS,"Express Kenya Plc
",7.94,7.94,7.94,7.94,-
KQ,"Kenya Airways Plc
",6.48,7.40,6.62,6.86,"189,400"
LKL,"Longhorn Publishers Plc
",5.50,5.62,5.56,5.54,"9,800"
NBV,"Nairobi Business Ventures Ltd
",0.99,1.05,1.05,0.99,"4,700"
NMG,"Nation Media Group Plc
",62.00,63.00,62.25,62.25,"15,300"
SMER,"Sameer Africa Plc
",2.10,2.20,2.16,2.18,400
SGL,"Standard Group Plc
",25.50,25.50,25.50,25.50,100
TPSE,"TPS Eastern Africa (Serena) Ltd
",23.50,23.50,23.50,23.50,-
UCHM,"Uchumi Supermarket Plc
",0.64,0.65,0.65,0.65,"230,600"
SCAN,"WPP ScanGroup Plc
",12.00,13.00,12.10,12.40,"4,900"
ARM,"ARM Cement Plc
",5.55,5.55,5.55,5.55,-
BAMB,"Bamburi Cement Ltd
",130.25,130.75,130.50,131.00,200
CRWN,"Crown Paints Kenya Plc
",80.00,82.00,80.75,80.50,"5,900"
CABL,"East African Cables Plc
",3.00,3.29,3.22,3.27,"13,500"
PORT,"East African Portland Cement Ltd
",15.50,15.50,15.50,15.50,100
KENO,"KenolKobil Ltd
",22.00,22.00,22.00,22.00,-
KEGN,"Kenya Electricity Generating Company Plc
",6.30,6.82,6.44,6.28,"132,600"
KPLC-P4,"KPLC-P4
",5.00,5.00,5.00,5.00,-
KPLC-P7,"KPLC-P7
",6.00,6.00,6.00,6.00,-
KPLC,"Kenya Power and Lighting Company Plc
",4.50,4.80,4.54,4.67,"1,048,900"
TOTL,"TotalEnergies Marketing Kenya Plc
",30.00,30.95,30.55,30.00,800
UMME,"Umeme Ltd
",6.52,6.52,6.50,5.98,"1,800"
BRIT,"Britam Holdings Plc
",9.60,10.00,9.72,9.74,"33,500"
CIC,"CIC Insurance Group Ltd
",4.10,4.13,4.12,4.12,"59,800"
JUB,"Jubilee Holdings Ltd
",430.00,430.00,430.00,426.00,"7,300"
KNRE,"Kenya Re-Insurance Corporation Ltd
",14.30,14.95,14.50,14.10,"14,800"
LBTY,"Liberty Kenya Holdings Ltd
",11.25,11.25,11.25,11.15,200
SLAM,"Sanlam Kenya Plc
",23.00,23.50,23.25,23.25,600
CTUM,"Centum Investment Company Plc
",32.40,33.00,32.65,32.75,"17,700"
HAFR,"Home Afrika Ltd
",0.59,0.60,0.60,0.60,"20,600"
KURV,"Kurwitu Ventures Ltd
","1,500.00","1,500.00","1,500.00","1,500.00",-
OCH,"Olympia Capital Holdings Ltd
",2.73,2.73,2.73,2.73,-
TCL,"Trans-Century Plc
",3.12,3.12,3.12,3.12,-
NSE,"Nairobi Securities Exchange Plc
",14.30,15.00,14.40,14.50,"8,200"
AMAC,"Africa Mega Agricorp Plc
",14.00,14.00,14.00,14.00,-
BOC,"BOC Kenya Plc
",74.75,74.75,74.75,74.75,"1,100"
BAT,"British American Tobacco Kenya Plc
",610.00,628.00,616.00,610.00,300
CARB,"Carbacid Investments Plc
",9.10,9.50,9.26,9.50,"1,200"
EABL,"East African Breweries Ltd
",193.50,195.00,194.50,195.00,"5,100"
FTGH,"Flame Tree Group Holdings Ltd
",2.10,2.30,2.14,2.27,400
MSC,"Mumias Sugar Company Ltd
",0.60,0.64,0.60,0.60,"56,500"
UNGA,"Unga Group Ltd
",36.20,36.20,36.20,36.20,-
SCOM,"Safaricom Plc
",26.30,26.65,26.60,26.50,"3,376,100"
