Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",17.30,17.30,17.30,17.60,100
KUKZ,"Kakuzi Plc
",310.00,310.00,310.00,310.00,-
KAPC,"Kapchorua Tea Kenya Plc
",71.00,71.00,71.00,71.00,-
LIMT,"Limuru Tea Plc
",554.00,554.00,554.00,554.00,-
SASN,"Sasini Plc
",19.00,19.65,19.10,20.00,500
WTK,"Williamson Tea Kenya Plc
",146.00,147.00,146.50,146.00,"1,800"
CGEN,"Car and General (K) Ltd
",23.00,23.00,23.00,25.50,700
ABSA,"ABSA Bank Kenya Plc
",11.40,11.55,11.45,11.45,"131,100"
BKG,"BK Group Plc
",33.00,33.00,33.00,33.00,-
COOP,"Co-operative Bank of Kenya Ltd
",15.20,16.00,15.45,15.75,"198,300"
DTK,"Diamond Trust Bank Kenya Ltd
",148.00,150.00,149.75,147.50,"166,100"
EQTY,"Equity Group Holdings Plc
",40.95,42.00,41.05,40.90,"2,501,200"
HFCK,"HF Group Ltd
",6.50,7.00,6.66,6.58,"10,400"
IMH,"I & M Holdings Plc
",93.75,95.00,93.75,95.00,"13,100"
KCB,"KCB Group Plc
",41.00,41.50,41.05,40.85,"3,927,300"
NBK,"National Bank of Kenya Ltd
",5.40,5.90,5.70,6.00,"6,900"
NCBA,"NCBA Group Plc
",34.05,35.60,34.90,34.75,"254,900"
SBIC,"Stanbic Holdings Plc
",90.00,91.00,90.00,91.25,"5,300"
SCBK,"Standard Chartered Bank Kenya Ltd
",196.00,198.00,197.00,195.00,"4,700"
DCON,"Deacons (East Africa) Plc
",0.45,0.45,0.45,0.45,-
EVRD,"Eveready East Africa Ltd
",1.23,1.25,1.24,1.19,"1,400"
XPRS,"Express Kenya Plc
",7.40,7.40,7.40,7.40,-
KQ,"Kenya Airways Plc
",8.76,9.00,8.82,8.94,"16,800"
LKL,"Longhorn Publishers Plc
",4.60,4.90,4.75,4.62,"10,300"
NBV,"Nairobi Business Ventures Ltd
",1.03,1.03,1.03,1.03,-
NMG,"Nation Media Group Plc
",61.25,63.50,63.00,62.00,"5,600"
SMER,"Sameer Africa Plc
",2.09,2.20,2.16,2.10,"1,600"
SGL,"Standard Group Plc
",28.50,28.50,28.50,28.45,100
TPSE,"TPS Eastern Africa (Serena) Ltd
",22.10,22.10,22.10,22.10,-
UCHM,"Uchumi Supermarket Plc
",0.82,0.85,0.83,0.85,"30,800"
SCAN,"WPP ScanGroup Plc
",13.50,13.50,13.50,13.90,300
ARM,"ARM Cement Plc
",5.55,5.55,5.55,5.55,-
BAMB,"Bamburi Cement Ltd
",129.00,129.00,129.00,129.00,-
CRWN,"Crown Paints Kenya Plc
",80.25,80.25,80.25,80.25,500
CABL,"East African Cables Plc
",3.00,3.08,3.06,2.79,"15,300"
PORT,"East African Portland Cement Ltd
",15.50,15.50,15.50,15.50,-
KENO,"KenolKobil Ltd
",21.00,21.10,21.00,21.40,"3,100"
KEGN,"Kenya Electricity Generating Company Plc
",6.54,6.98,6.80,6.78,"45,900"
KPLC-P4,"KPLC-P4
",5.00,5.00,5.00,5.00,-
KPLC-P7,"KPLC-P7
",6.00,6.00,6.00,6.00,-
KPLC,"Kenya Power and Lighting Company Plc
",4.60,4.85,4.71,4.63,"352,900"
TOTL,"TotalEnergies Marketing Kenya Plc
",28.55,28.95,28.85,28.95,"2,600"
UMME,"Umeme Ltd
",7.00,7.50,7.12,7.12,"11,500"
BRIT,"Britam Holdings Plc
",9.50,10.00,9.84,9.90,"51,100"
CIC,"CIC Insurance Group Ltd
",4.30,4.50,4.40,4.45,"169,500"
JUB,"Jubilee Holdings Ltd
",430.00,430.00,430.00,430.00,600
KNRE,"Kenya Re-Insurance Corporation Ltd
",14.30,14.50,14.40,14.40,"13,900"
LBTY,"Liberty Kenya Holdings Ltd
",12.00,12.00,12.00,11.30,200
SLAM,"Sanlam Kenya Plc
",25.85,25.85,25.85,23.50,100
CTUM,"Centum Investment Company Plc
",35.00,36.90,35.05,35.90,"62,800"
HAFR,"Home Afrika Ltd
",0.69,0.69,0.69,0.65,"11,000"
KURV,"Kurwitu Ventures Ltd
","1,500.00","1,500.00","1,500.00","1,500.00",-
OCH,"Olympia Capital Holdings Ltd
",2.80,2.80,2.79,2.79,"13,000"
TCL,"Trans-Century Plc
",3.40,3.40,3.39,3.40,"1,900"
NSE,"Nairobi Securities Exchange Plc
",14.00,14.20,14.10,13.00,"42,700"
AMAC,"Africa Mega Agricorp Plc
",14.00,14.00,14.00,14.00,-
BOC,"BOC Kenya Plc
",82.50,82.50,82.50,82.50,100
BAT,"British American Tobacco Kenya Plc
",600.00,600.00,600.00,640.00,100
CARB,"Carbacid Investments Plc
",9.62,10.20,9.60,9.66,"51,500"
EABL,"East African Breweries Ltd
",210.00,220.00,211.00,210.75,"57,400"
FTGH,"Flame Tree Group Holdings Ltd
",2.50,2.60,2.58,2.50,"11,400"
MSC,"Mumias Sugar Company Ltd
",0.58,0.62,0.60,0.57,"185,100"
UNGA,"Unga Group Ltd
",38.25,38.25,38.25,38.25,-
SCOM,"Safaricom Plc
",25.50,26.25,26.00,25.50,"10,610,100"
GLD,"ABSA NewGold ETF
","1,255.00","1,255.00","1,255.00","1,255.00",-
^N20I,"NSE 20-Share Index
","2,972.79","2,972.79","2,972.79","2,982.73",-
^N25I,"NSE 25-Share Index
","3,933.45","3,933.45","3,933.45","3,929.29",-
^NASI,"NSE All-Share Index
",155.49,155.49,155.49,154.52,-
^ZKEQTK,"Zamara Kenya Equity Index (KES)
","1,833.52","1,833.52","1,833.52","1,830.54",-
^ZKEQTU,"Zamara Kenya Equity Index (USD)
","1,577.08","1,577.08","1,577.08","1,569.03",-
