Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",24.75,24.75,24.75,24.75,-
KUKZ,"Kakuzi Plc
",355.00,355.00,355.00,360.00,100
KAPC,"Kapchorua Tea Kenya Plc
",72.00,72.00,72.00,71.50,"2,000"
LIMT,"Limuru Tea Plc
",500.00,500.00,500.00,500.00,-
SASN,"Sasini Plc
",26.50,27.00,27.00,27.50,"4,200"
WTK,"Williamson Tea Kenya Plc
",152.00,152.00,152.00,153.00,-
CGEN,"Car and General (K) Ltd
",19.50,19.50,19.50,19.50,100
ABSA,"ABSA Bank Kenya Plc
",10.50,10.90,10.85,10.00,"297,000"
COOP,"Co-operative Bank of Kenya Ltd
",16.55,17.50,16.80,16.55,"766,800"
DTK,"Diamond Trust Bank Kenya Ltd
",200.00,200.00,200.00,201.00,"20,700"
EQTY,"Equity Group Holdings Plc
",43.25,44.50,44.25,43.50,"846,400"
HFCK,"HF Group Ltd
",10.50,11.20,11.00,10.35,"50,900"
IMH,"I & M Holdings Plc
",116.00,116.00,116.00,116.00,"7,200"
KCB,"KCB Group Plc
",45.25,47.00,45.50,45.50,"1,909,100"
NBK,"National Bank of Kenya Ltd
",8.90,9.00,9.00,9.00,"16,100"
NCBA,"NCBA Group Plc
",37.00,37.25,37.25,34.25,"68,900"
SBIC,"Stanbic Holdings Plc
",81.00,81.00,81.00,80.50,100
SCBK,"Standard Chartered Bank Kenya Ltd
",204.00,209.00,206.00,205.00,"35,000"
DCON,"Deacons (East Africa) Plc
",2.90,2.90,2.90,2.95,-
EVRD,"Eveready East Africa Ltd
",2.30,2.40,2.35,2.35,"5,700"
XPRS,"Express Kenya Plc
",3.75,3.75,3.75,3.75,-
KQ,"Kenya Airways Plc
",15.75,16.00,16.00,15.65,"14,200"
LKL,"Longhorn Publishers Plc
",5.40,5.65,5.50,5.45,"13,700"
NBV,"Nairobi Business Ventures Ltd
",2.90,2.90,2.90,2.90,"9,900"
NMG,"Nation Media Group Plc
",106.00,108.00,107.00,108.00,"72,100"
SMER,"Sameer Africa Plc
",2.50,2.75,2.65,2.75,"9,100"
SGL,"Standard Group Plc
",30.00,30.00,30.00,30.00,100
TPSE,"TPS Eastern Africa (Serena) Ltd
",33.25,36.75,35.25,35.00,"8,500"
UCHM,"Uchumi Supermarket Plc
",3.90,4.00,4.00,4.00,"40,600"
SCAN,"WPP ScanGroup Plc
",17.00,17.30,17.05,17.40,"3,300"
ARM,"ARM Cement Plc
",13.00,13.40,13.05,12.50,"5,500"
BAMB,"Bamburi Cement Ltd
",170.00,172.00,172.00,170.00,"10,300"
CRWN,"Crown Paints Kenya Plc
",78.00,78.00,78.00,78.00,200
CABL,"East African Cables Plc
",5.00,5.50,5.25,5.05,"2,200"
PORT,"East African Portland Cement Ltd
",28.00,28.00,28.00,28.00,-
KENO,"KenolKobil Ltd
",14.65,14.75,14.75,14.75,"369,977,700"
KEGN,"Kenya Electricity Generating Company Plc
",8.15,8.30,8.25,8.25,"403,200"
KPLC-P4,"KPLC-P4
",5.00,5.00,5.00,5.00,-
KPLC-P7,"KPLC-P7
",6.00,6.00,6.00,6.00,-
KPLC,"Kenya Power and Lighting Company Plc
",8.20,9.00,8.80,8.80,"4,483,300"
TOTL,"TotalEnergies Marketing Kenya Plc
",23.50,25.50,25.25,25.50,"2,400"
UMME,"Umeme Ltd
",12.30,12.30,12.30,13.45,300
BRIT,"Britam Holdings Plc
",13.00,13.50,13.20,13.00,"64,300"
CIC,"CIC Insurance Group Ltd
",5.50,5.90,5.65,5.60,"130,800"
JUB,"Jubilee Holdings Ltd
",505.00,505.00,505.00,500.00,500
KNRE,"Kenya Re-Insurance Corporation Ltd
",19.25,19.80,19.60,19.65,"37,100"
LBTY,"Liberty Kenya Holdings Ltd
",13.10,13.40,13.20,13.15,400
SLAM,"Sanlam Kenya Plc
",26.50,29.50,27.25,29.25,"30,900"
CTUM,"Centum Investment Company Plc
",45.50,47.00,46.00,45.75,"332,700"
HAFR,"Home Afrika Ltd
",1.35,1.40,1.40,1.35,"103,800"
KURV,"Kurwitu Ventures Ltd
","1,500.00","1,500.00","1,500.00","1,500.00",-
OCH,"Olympia Capital Holdings Ltd
",3.30,3.40,3.35,3.35,"1,100"
TCL,"Trans-Century Plc
",5.80,6.00,5.85,6.00,"3,700"
NSE,"Nairobi Securities Exchange Plc
",20.00,20.25,20.25,20.25,"17,000"
AMAC,"Africa Mega Agricorp Plc
",95.00,95.00,95.00,90.00,100
BOC,"BOC Kenya Plc
",108.00,108.00,108.00,108.00,800
BAT,"British American Tobacco Kenya Plc
",775.00,775.00,775.00,775.00,-
CARB,"Carbacid Investments Plc
",12.90,13.00,13.00,12.65,"34,400"
EABL,"East African Breweries Ltd
",240.00,240.00,240.00,238.00,"384,500"
FTGH,"Flame Tree Group Holdings Ltd
",4.70,4.70,4.70,4.50,200
MSC,"Mumias Sugar Company Ltd
",1.00,1.10,1.10,1.05,"216,400"
UNGA,"Unga Group Ltd
",27.75,27.75,27.75,27.75,"6,400"
SCOM,"Safaricom Plc
",29.25,29.75,29.50,29.50,"6,590,000"
GLD,"ABSA NewGold ETF
","1,265.00","1,265.00","1,265.00","1,265.00",-
^N20I,"NSE 20-Share Index
","3,737.17","3,737.17","3,737.17","3,705.97",-
^N25I,"NSE 25-Share Index
","4,500.71","4,500.71","4,500.71","4,444.26",-
^NASI,"NSE All-Share Index
",180.17,180.17,180.17,178.49,-
