Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",25.00,25.25,25.25,27.25,300
KUKZ,"Kakuzi Plc
",327.00,327.00,327.00,327.00,100
KAPC,"Kapchorua Tea Kenya Plc
",71.00,71.00,71.00,72.00,400
LIMT,"Limuru Tea Plc
",500.00,500.00,500.00,500.00,-
SASN,"Sasini Plc
",26.00,27.00,26.25,27.00,"104,600"
WTK,"Williamson Tea Kenya Plc
",160.00,160.00,160.00,161.00,"6,200"
CGEN,"Car and General (K) Ltd
",21.00,21.00,21.00,23.00,100
ABSA,"ABSA Bank Kenya Plc
",9.80,9.95,9.90,9.90,"114,100"
COOP,"Co-operative Bank of Kenya Ltd
",15.95,16.10,16.05,16.05,"271,600"
DTK,"Diamond Trust Bank Kenya Ltd
",190.00,191.00,191.00,192.00,"28,400"
EQTY,"Equity Group Holdings Plc
",40.00,40.75,40.50,40.50,"1,246,300"
HFCK,"HF Group Ltd
",10.50,10.90,10.65,11.00,"94,200"
IMH,"I & M Holdings Plc
",115.00,125.00,125.00,122.00,"5,000"
KCB,"KCB Group Plc
",42.00,42.50,42.50,42.25,"1,754,500"
NBK,"National Bank of Kenya Ltd
",9.45,9.50,9.50,9.95,"1,900"
NCBA,"NCBA Group Plc
",35.50,36.00,36.00,35.75,"497,800"
SBIC,"Stanbic Holdings Plc
",82.00,83.00,83.00,82.50,"27,000"
SCBK,"Standard Chartered Bank Kenya Ltd
",200.00,210.00,203.00,211.00,"1,300"
DCON,"Deacons (East Africa) Plc
",3.50,3.50,3.50,3.40,"2,100"
EVRD,"Eveready East Africa Ltd
",2.30,2.40,2.40,2.35,"39,100"
XPRS,"Express Kenya Plc
",3.75,3.75,3.75,3.75,-
KQ,"Kenya Airways Plc
",17.50,18.00,17.90,17.80,"595,600"
LKL,"Longhorn Publishers Plc
",5.15,5.80,5.55,5.55,"18,400"
NBV,"Nairobi Business Ventures Ltd
",2.85,3.00,2.90,2.85,"72,000"
NMG,"Nation Media Group Plc
",117.00,119.00,119.00,119.00,"4,200"
SMER,"Sameer Africa Plc
",2.90,2.90,2.90,2.75,"3,600"
SGL,"Standard Group Plc
",37.50,37.50,37.50,35.00,"4,800"
TPSE,"TPS Eastern Africa (Serena) Ltd
",30.00,30.00,30.00,30.25,900
UCHM,"Uchumi Supermarket Plc
",3.50,3.85,3.85,3.55,"91,600"
SCAN,"WPP ScanGroup Plc
",17.30,17.95,17.70,18.00,900
ARM,"ARM Cement Plc
",11.55,12.65,11.65,11.55,"701,900"
BAMB,"Bamburi Cement Ltd
",178.00,182.00,181.00,179.00,"133,300"
CRWN,"Crown Paints Kenya Plc
",76.00,76.00,76.00,76.00,-
CABL,"East African Cables Plc
",5.75,5.85,5.85,5.75,"18,900"
PORT,"East African Portland Cement Ltd
",33.25,33.25,33.25,33.25,-
KENO,"KenolKobil Ltd
",14.25,14.40,14.30,14.30,"1,203,800"
KEGN,"Kenya Electricity Generating Company Plc
",8.60,8.90,8.70,8.60,"664,800"
KPLC-P4,"KPLC-P4
",5.00,5.00,5.00,5.00,-
KPLC-P7,"KPLC-P7
",6.00,6.00,6.00,6.00,-
KPLC,"Kenya Power and Lighting Company Plc
",9.40,9.55,9.50,9.50,"6,153,700"
TOTL,"TotalEnergies Marketing Kenya Plc
",25.00,25.50,25.50,25.00,"1,700"
UMME,"Umeme Ltd
",12.50,13.80,13.55,13.80,500
BRIT,"Britam Holdings Plc
",14.00,14.55,14.05,14.15,"68,200"
CIC,"CIC Insurance Group Ltd
",5.60,5.80,5.80,5.65,"613,600"
JUB,"Jubilee Holdings Ltd
",470.00,470.00,470.00,470.00,"2,500"
KNRE,"Kenya Re-Insurance Corporation Ltd
",20.00,20.00,20.00,20.25,"7,800"
LBTY,"Liberty Kenya Holdings Ltd
",12.10,12.50,12.15,12.15,"6,900"
SLAM,"Sanlam Kenya Plc
",28.75,28.75,28.75,29.00,"1,100"
CTUM,"Centum Investment Company Plc
",44.00,44.50,44.25,44.50,"64,800"
HAFR,"Home Afrika Ltd
",1.30,1.40,1.35,1.35,"299,900"
KURV,"Kurwitu Ventures Ltd
","1,500.00","1,500.00","1,500.00","1,500.00",-
OCH,"Olympia Capital Holdings Ltd
",3.15,3.30,3.20,3.00,"3,500"
TCL,"Trans-Century Plc
",6.80,6.80,6.80,6.30,100
NSE,"Nairobi Securities Exchange Plc
",20.50,21.75,21.50,21.50,"160,300"
AMAC,"Africa Mega Agricorp Plc
",97.00,97.00,97.00,94.00,100
BOC,"BOC Kenya Plc
",107.00,107.00,107.00,108.00,-
BAT,"British American Tobacco Kenya Plc
",796.00,796.00,796.00,797.00,"1,800"
CARB,"Carbacid Investments Plc
",12.20,12.80,12.55,12.65,"5,700"
EABL,"East African Breweries Ltd
",230.00,245.00,245.00,244.00,"560,800"
FTGH,"Flame Tree Group Holdings Ltd
",4.85,4.95,4.95,4.95,"46,600"
MSC,"Mumias Sugar Company Ltd
",1.10,1.15,1.15,1.15,"268,500"
UNGA,"Unga Group Ltd
",30.50,31.00,30.75,30.25,"4,400"
SCOM,"Safaricom Plc
",26.75,27.75,27.25,27.75,"19,073,700"
GLD,"ABSA NewGold ETF
","1,265.00","1,265.00","1,265.00","1,265.00",-
^N20I,"NSE 20-Share Index
","3,706.37","3,706.37","3,706.37","3,731.79",-
^N25I,"NSE 25-Share Index
","4,326.82","4,326.82","4,326.82","4,388.24",-
^NASI,"NSE All-Share Index
",172.88,172.88,172.88,176.00,-
